date,open,high,low,close,volume
2015-03-04,1.1178,1.118555,1.10617,1.10783,-1.0
2015-03-05,1.108275,1.11147,1.098745,1.10309,-1.0
2015-03-06,1.103125,1.103285,1.08396,1.08435,-1.0
2015-03-09,1.08312,1.09065,1.08228,1.08517,-1.0
2015-03-10,1.085025,1.085565,1.069285,1.069785,-1.0
2015-03-11,1.067875,1.07172,1.05113,1.05471,-1.0
2015-03-12,1.05395,1.068465,1.04943,1.063465,-1.0
2015-03-13,1.062755,1.063515,1.046245,1.04956,-1.0
2015-03-16,1.048425,1.061975,1.047965,1.056745,-1.0
2015-03-17,1.056955,1.065105,1.055155,1.05972,-1.0
2015-03-18,1.059725,1.104955,1.057995,1.086375,-1.0
2015-03-19,1.086875,1.091975,1.061305,1.06595,-1.0
2015-03-20,1.06546,1.08824,1.06498,1.0822,-1.0
2015-03-23,1.085125,1.09714,1.07675,1.094575,-1.0
2015-03-24,1.09475,1.102935,1.089035,1.092425,-1.0
2015-03-25,1.09273,1.101475,1.090085,1.096995,-1.0
2015-03-26,1.097205,1.10524,1.08565,1.08838,-1.0
2015-03-27,1.087495,1.094895,1.08013,1.0889,-1.0
2015-03-30,1.088875,1.089535,1.080965,1.083305,-1.0
2015-03-31,1.082475,1.08454,1.071305,1.073165,-1.0
2015-04-01,1.07365,1.079995,1.07187,1.076315,-1.0
2015-04-02,1.076325,1.09055,1.07504,1.087975,-1.0
2015-04-03,1.08832,1.102765,1.086405,1.097165,-1.0
2015-04-06,1.09948,1.103565,1.09098,1.09219,-1.0
2015-04-07,1.09274,1.095485,1.080305,1.081465,-1.0
2015-04-08,1.081565,1.088765,1.07634,1.078035,-1.0
2015-04-09,1.07796,1.078885,1.06378,1.06593,-1.0
2015-04-10,1.065955,1.06838,1.056785,1.06043,-1.0
2015-04-13,1.059445,1.06195,1.052025,1.056735,-1.0
2015-04-14,1.05732,1.070745,1.05314,1.06545,-1.0
2015-04-15,1.065575,1.070235,1.057075,1.068395,-1.0
2015-04-16,1.06875,1.081795,1.062445,1.07615,-1.0
2015-04-17,1.07673,1.08488,1.073365,1.08068,-1.0
2015-04-20,1.081775,1.08186,1.071235,1.073765,-1.0
2015-04-21,1.073955,1.078135,1.06598,1.07354,-1.0
2015-04-22,1.073265,1.080075,1.070855,1.072425,-1.0
2015-04-23,1.07254,1.084595,1.066575,1.08238,-1.0
2015-04-24,1.08234,1.090015,1.07847,1.087875,-1.0
2015-04-27,1.086525,1.09268,1.081945,1.08915,-1.0
2015-04-28,1.0889,1.09911,1.086015,1.098085,-1.0
2015-04-29,1.097775,1.118815,1.095965,1.112825,-1.0
2015-04-30,1.11222,1.126685,1.10713,1.122425,-1.0
2015-05-01,1.12193,1.129105,1.117485,1.11982,-1.0
2015-05-04,1.119675,1.12247,1.112285,1.11464,-1.0
2015-05-05,1.114865,1.12232,1.10664,1.11852,-1.0
2015-05-06,1.118535,1.137025,1.117495,1.134675,-1.0
2015-05-07,1.134825,1.13919,1.12373,1.126675,-1.0
2015-05-08,1.12645,1.129035,1.11793,1.120195,-1.0
2015-05-11,1.120125,1.120715,1.113105,1.115525,-1.0
2015-05-12,1.1157,1.127945,1.113445,1.121295,-1.0
2015-05-13,1.121375,1.138285,1.120235,1.135405,-1.0
2015-05-14,1.1352,1.14449,1.13408,1.140995,-1.0
2015-05-15,1.141375,1.146715,1.13239,1.145125,-1.0
